-1.22,-1.41,-0.31
-0.02,-1.01,-0.11
-2.82,-0.41,-0.31
-1.22,-2.61,-0.11
-0.02,-2.21,0.09
-2.82,-1.61,-0.11
-1.22,-3.81,0.09
-0.02,-3.41,0.29
-2.82,-2.81,0.09
-1.62,-2.41,0.29
-0.42,-2.01,0.49
-3.22,-1.41,0.29
-1.62,-3.61,0.49
-0.42,-3.21,0.69
-3.22,-2.61,0.49
-2.02,-2.21,0.69
-0.82,-1.81,0.89
0.38,-1.41,1.09
-2.42,-0.81,0.89
-0.82,-3.01,1.09
0.38,-2.61,1.29
-2.42,-2.01,1.09
-1.22,-1.61,1.29
-0.02,-1.21,1.49
-2.82,-0.61,1.29
-1.22,-2.81,1.49
-0.02,-2.41,1.69
-2.82,-1.81,1.49
-1.22,-4.01,1.69
-0.02,-3.61,1.89
-2.82,-3.01,1.69
-1.62,-2.61,1.89
-0.42,-2.21,2.09
-3.22,-1.61,1.89
-1.62,-3.81,2.09
-0.42,-3.41,2.29
-3.22,-2.81,2.09
-2.02,-2.41,2.29
-0.82,-2.01,2.49
0.38,-1.61,2.69
-2.42,-1.01,2.49
-0.82,-3.21,2.69
-3.62,-2.61,2.49
-2.42,-2.21,2.69
-1.22,-1.81,2.89
-0.02,-1.41,3.09
-2.82,-0.81,2.89
-1.22,-3.01,3.09
-0.02,-2.61,3.29
-2.82,-2.01,3.09
-1.62,-1.61,3.29
-0.42,-1.21,3.49
-3.22,-0.61,3.29
-1.62,-2.81,3.49
-0.42,-2.41,3.69
-3.22,-1.81,3.49
-1.62,-4.01,3.69
-0.42,-3.61,3.89
-3.22,-3.01,3.69
-2.02,-2.61,3.89
-0.82,-2.21,4.09
0.38,-1.81,4.29
-2.42,-1.21,4.09
-0.82,-3.41,4.29
-3.62,-2.81,4.09
-2.42,-2.41,4.29
-1.22,-2.01,4.49
-0.02,-1.61,4.69
-2.82,-1.01,4.49
-1.22,-3.21,4.69
-0.02,-2.81,4.89
-2.82,-2.21,4.69
-1.62,-1.81,4.89
-0.42,-1.41,5.09
-3.22,-0.81,4.89
-1.62,-3.01,5.09
-0.42,-2.61,5.29
-3.22,-2.01,5.09
-2.02,-1.61,5.29
-0.82,-1.21,5.49
0.38,-0.81,5.69
-1.02,-2.21,5.49
0.18,-1.81,5.69
-2.62,-1.21,5.49
-1.02,-3.41,5.69
-3.82,-2.81,5.49
-2.62,-2.41,5.69
-1.42,-2.01,5.89
-0.22,-1.61,6.09
-3.02,-1.01,5.89
-1.42,-3.21,6.09
-0.22,-2.81,6.29
-3.02,-2.21,6.09
-1.82,-1.81,6.29
-0.62,-1.41,6.49
-3.42,-0.81,6.29
-1.82,-3.01,6.49
-0.62,-2.61,6.69
-3.42,-2.01,6.49
-2.22,-1.61,6.69
-1.02,-1.21,6.89
0.18,-0.81,7.09
-1.22,-2.21,6.89
-0.02,-1.81,7.09
-2.82,-1.21,6.89
-1.22,-3.41,7.09
-4.02,-2.81,6.89
-2.82,-2.41,7.09
-1.62,-2.01,7.29
-0.42,-1.61,7.49
-3.22,-1.01,7.29
-1.62,-3.21,7.49
-0.42,-2.81,7.69
-3.22,-2.21,7.49
-2.02,-1.81,7.69
-0.82,-1.41,7.89
-3.62,-0.81,7.69
-2.02,-3.01,7.89
-0.82,-2.61,8.09
-3.62,-2.01,7.89
-2.42,-1.61,8.09
-1.22,-1.21,8.29
-0.02,-0.81,8.49
-1.42,-2.21,8.29
-0.22,-1.81,8.49
-3.02,-1.21,8.29
-1.42,-3.41,8.49
-0.22,-3.01,8.69
-3.02,-2.41,8.49
-1.82,-2.01,8.69
-0.62,-1.61,8.89
-3.42,-1.01,8.69
-1.82,-3.21,8.89
-0.62,-2.81,9.09
-3.42,-2.21,8.89
-2.22,-1.81,9.09
-1.02,-1.41,9.29
-0.02,-0.21,9.49
-1.42,-1.61,9.29
-0.22,-1.21,9.49
-3.02,-0.61,9.29
-1.42,-2.81,9.49
-0.22,-2.41,9.69
-3.02,-1.81,9.49
-1.82,-1.41,9.69
-0.62,-1.01,9.89
-3.42,-0.41,9.69
-1.82,-2.61,9.89
-0.62,-2.21,10.09
-3.42,-1.61,9.89
-2.22,-1.21,10.09
-1.02,-0.81,10.29
-1.02,-0.81,10.29
